M,d,A_star,rho_star
1,5.675890410958904,0.4722004731152168,0.4722004731152168
1,5.698675799086758,0.47431080848044205,0.47431080848044205
1,5.7214611872146115,0.4764043352686963,0.4764043352686963
1,5.744246575342466,0.47848125350096293,0.47848125350096293
1,5.76703196347032,0.48054176003711563,0.48054176003711563
1,5.789817351598174,0.4825860486381196,0.4825860486381196
1,5.812602739726028,0.48461431002676936,0.48461431002676936
1,5.835388127853881,0.4866267319470062,0.4866267319470062
1,5.858173515981735,0.4886234992218471,0.4886234992218471
1,5.880958904109589,0.49060479380997146,0.49060479380997146
1,5.903744292237443,0.49257079486099414,0.49257079486099414
1,5.926529680365297,0.49452167876946534,0.49452167876946534
1,5.949315068493151,0.4964576192276279,0.4964576192276279
1,5.972100456621005,0.4983787872769701,0.4983787872769701
1,5.994885844748858,0.5002853513585982,0.5002853513585982
1,6.017671232876713,0.5021774773624685,0.5021774773624685
1,6.040456621004566,0.5040553286755035,0.5040553286755035
1,6.06324200913242,0.5059190662286225,0.5059190662286225
1,6.086027397260274,0.5077688485427181,0.5077688485427181
1,6.108812785388128,0.5096048317736007,0.5096048317736007
1,6.131598173515982,0.511427169755944,0.511427169755944
1,6.154383561643836,0.5132360140462501,0.5132360140462501
1,6.17716894977169,0.5150315139648703,0.5150315139648703
1,6.199954337899543,0.5168138166370914,0.5168138166370914
1,6.222739726027397,0.5185830670333264,0.5185830670333264
1,6.245525114155251,0.5203394080084199,0.5203394080084199
1,6.268310502283105,0.5220829803401005,0.5220829803401005
1,6.2910958904109595,0.5238139227665951,0.5238139227665951
1,6.313881278538813,0.5255323720234292,0.5255323720234292
1,6.336666666666667,0.5272384628794337,0.5272384628794337
1,6.35945205479452,0.5289323281719773,0.5289323281719773
1,6.382237442922374,0.5306140988414452,0.5306140988414452
1,6.405022831050228,0.5322839039649792,0.5322839039649792
1,6.4278082191780825,0.5339418707895036,0.5339418707895036
1,6.450593607305937,0.5355881247640488,0.5355881247640488
1,6.47337899543379,0.5372227895713928,0.5372227895713928
1,6.496164383561644,0.5388459871590378,0.5388459871590378
1,6.518949771689497,0.5404578377695348,0.5404578377695348
1,6.541735159817351,0.5420584599701783,0.5420584599701783
1,6.564520547945206,0.5436479706820785,0.5436479706820785
1,6.58730593607306,0.5452264852086318,0.5452264852086318
1,6.610091324200914,0.5467941172634042,0.5467941172634042
1,6.632876712328768,0.5483509789974367,0.5483509789974367
1,6.655662100456621,0.5498971810259925,0.5498971810259925
1,6.6784474885844745,0.5514328324547555,0.5514328324547555
1,6.701232876712329,0.5529580409054943,0.5529580409054943
1,6.724018264840183,0.5544729125412049,0.5544729125412049
